Order,Keywords,StudyType,Replicates,DistType,DistMechanism,DistShape,Lat,Long,Country,Sal_Low,Sal_High,Sal_Mean,Depth_m,Depth_ShallowDeep,Depth_Cat,StudyDuration_months,DistMonth,DistMonth_num,MeadowSizeStart_m2,MeadowSizeEnd_m2,DisturbanceArea_m2,DisturbancePerimeter_m,Perc_AboveGroundReduction,LagTime,Recovery_YorN,Recovery_EstOrExact,Recovery_months,Perc_RecoveryDuringStudy,Recovery_Trajectory,Recovery_Mechanism,Mixed_Mono,NumSpecies,Species
45,,Observation,7,Physical,Hull grounding,Irregular,24.426,-83.134,USA,NA,NA,NA,NA,NA,NA,162.3,March,3,NA,NA,7200,NA,99,NA,Yes,Estimated,162,100,NA,NA,Mixed,2,"Thalassia testudinum, Syringodium filiforme"
45,,Observation,7,Physical,Hull grounding,Irregular,24.426,-83.134,USA,NA,NA,NA,NA,NA,NA,33.5,October,10,NA,NA,8.08,NA,99,NA,Yes,Estimated,33,100,NA,NA,Mixed,2,"Thalassia testudinum, Syringodium filiforme"
45,,Observation,7,Physical,Hull grounding,Irregular,24.426,-83.134,USA,NA,NA,NA,NA,NA,NA,48.7,July,7,NA,NA,20.71,NA,99,NA,Yes,Estimated,49,100,NA,NA,Mixed,3,"Thalassia testudinum, Syringodium filiforme, Halodule wrightii"
45,,Observation,7,Physical,Hull grounding,Irregular,24.426,-83.134,USA,NA,NA,NA,NA,NA,NA,62.9,May,5,NA,NA,14.26,NA,99,NA,No,Estimated,NA,50,NA,NA,Mixed,3,"Thalassia testudinum, Syringodium filiforme, Halodule wrightii"
45,,Observation,7,Physical,Hull grounding,Irregular,24.426,-83.134,USA,NA,NA,NA,NA,NA,NA,50.7,May,5,NA,NA,54.42,NA,99,NA,Yes,Estimated,51,100,NA,NA,Mixed,2,"Thalassia testudinum, Syringodium filiforme"
45,,Observation,7,Physical,Hull grounding,Irregular,24.426,-83.134,USA,NA,NA,NA,NA,NA,NA,48.7,July,7,NA,NA,19.79,NA,99,NA,Yes,Estimated,49,100,NA,NA,Mixed,2,"Thalassia testudinum, Syringodium filiforme"
45,,Observation,7,Physical,Hull grounding,Irregular,24.426,-83.134,USA,NA,NA,NA,NA,NA,NA,59.8,August,8,NA,NA,15.38,NA,99,NA,Yes,Estimated,60,100,NA,NA,Mixed,3,"Thalassia testudinum, Syringodium filiforme, Halodule wrightii"
47,,Observation,11,Chemical,Eutrophication and sediment influx,Irregular,-34.973,117.958,Australia,36,36,36,-0.3 to -3.0,Shallow,Subtidal,108,NA,NA,16000000,NA,12800000,NA,80,NA,No,NA,NA,NA,NA,Both,Mixed,3,"Posidonia australis, Posidonia sinuosa, Amphibolis griffithii"
48,"Restoration, Nutrient reduction, seagrasses, Macrobenthic assemblages, hysteresis",Observation,0,Chemical,Eutrophication,Irregular,40.133,-8.833,Portugal,NA,NA,NA,NA,NA,Intertidal,228,NA,NA,150000,40000,149800,NA,89,8,No,Exact,84,45,Linear,NA,Mono,1,Zostera noltii
49,"Eutrophication, Nutrient management, Seagrass, Tampa Bay",Observation,0,Physical,"Physical - dredge and fill operations, Eutrophication, Low DO, low light",Irregular,27.752,-82.549,USA,NA,NA,NA,NA,NA,NA,660,NA,NA,164000000,108880000,87150000,NA,46,NA,No,Estimated,NA,80,NA,NA,Mixed,4,"Thalassia testudinum, Syringodium filiforme, Halodule wrightii, Ruppia maritima"
51,"Zostera marina, Sediment, Disturbance, Clamming",Experiment,50,Physical,Shellfishing - Clams,Square,44.618,-124.018,USA,NA,NA,NA,NA,NA,Intertidal,22.3,"June, July, August",6,1000000,1000000,1,4,NA,NA,Yes,Exact,0.5,100,NA,NA,Mixed,2,"Zostera marina, Zostera japonica"
51,,Experiment,20,Physical,Shellfishing - Clams,Square,44.618,-124.018,USA,NA,NA,NA,NA,NA,Intertidal,13.2,"May, June, July",5,1000000,1000000,1,4,52,NA,Yes,Exact,10,100,NA,NA,Mixed,2,"Zostera marina, Zostera japonica"
55,"Water column, seagrass, sediments, benthos, fishes, decapods, dredging, community, recovery",Observation,6,Physical,Physical - Dredging,Ellipse,26.69,-97.415,USA,28,43,35.5,-0.4 to -0.8,Shallow,Subtidal,31.4,January,1,NA,NA,400000,NA,95,24,No,Estimated,60,48,Nonlinear,NA,Mixed,5,"Halophila engelmannii, Halodule wrightii, Syringodium filiforme, Thalassia testudinum, Ruppia maritima"
56,"Trampling, Disturbance, Seagrass, Recovery, Recreation, Thalassia testudinum, Decapods, Fishes",Experiment,20,Physical,Physical - Trampling,Rectangle,17.972,-67.049,USA,NA,NA,NA,NA,NA,Subtidal,21.3,March - January,3,NA,NA,12.5,15,15,NA,No,Estimated,NA,90,NA,NA,Mixed,3,"Thalassia testudinum, Syringodium filiforme, Halodule wrightii"
56,,Experiment,20,Physical,Physical - Trampling,Rectangle,17.972,-67.049,USA,NA,NA,NA,NA,NA,Subtidal,21.3,March - January,3,NA,NA,12.5,15,20,NA,No,Estimated,NA,90,NA,NA,Mixed,3,"Thalassia testudinum, Syringodium filiforme, Halodule wrightii"
57,"Cultivation grazing, seagrasses, dugongs",Observation,0,Physical,Grazing - Dugong,Irregular,-27.373,153.422,Australia,NA,NA,NA,0 to -7,Shallow,Subtidal,6,August,8,110000000,110000000,750000,NA,64.7,NA,Yes,Exact,5,100,Linear,NA,Mixed,2,"Zostera capricorni, Halodule uninervis"
57,,Observation,0,Physical,Grazing - Dugong,Irregular,-27.373,153.422,Australia,NA,NA,NA,0 to -7,Shallow,Subtidal,10.2,March,3,110000000,110000000,410000,NA,94.5,NA,No,Exact,5,65,Linear,NA,Mixed,2,"Halophila ovalis, Halodule uninervis"
57,,Experiment,3,Physical,Grazing - Dugong,Rectangle,-27.373,153.422,Australia,NA,NA,NA,-2.5,Shallow,Subtidal,11.1,June,6,110000000,110000000,0.54,6.4,89,NA,Yes,Exact,10,100,Nonlinear,Clonal,Mixed,3,"Zostera capricorni, Halophila spinulosa, Halophila ovalis"
57,,Experiment,3,Physical,Grazing - Dugong,Square,-27.373,153.422,Australia,NA,NA,NA,-2.5,Shallow,Subtidal,11.1,June,6,110000000,110000000,9,12,83,3.33,Yes,Exact,10,100,Nonlinear,Clonal,Mixed,3,"Zostera capricorni, Halophila spinulosa, Halophila ovalis"
58,"Seagrass, Die-off, Recovery, Cyclone, Flood",Observation,65,Climate,Flood and Cyclone,Irregular,-25.166,152.883,Australia,NA,NA,NA,0 to -30,Deep,Subtidal,62.9,February,2,1620000000,1620000000,1220000000,NA,99,NA,No,Estimated,NA,NA,NA,NA,Mixed,6,"Halophila spinulosa, Halophila ovalis, Halodule uninervis, Halophila decipiens, Zostera capricorni, Halophila pinifolia"
59,"Posidonia australis, Spreading rate, Recovery times",Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,709,94,100,NA,No,Estimated,972,39,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,1176,122,100,NA,No,Estimated,1188,36,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,474,77,100,NA,No,Estimated,816,45,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,581,85,100,NA,No,Estimated,804,58,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,578,85,100,NA,No,Estimated,828,54,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,670,92,100,NA,No,Estimated,816,62,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,635,89,100,NA,No,Estimated,744,71,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,643,90,100,NA,No,Estimated,744,71,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,810,101,100,NA,No,Estimated,852,64,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,590,86,100,NA,No,Estimated,768,65,Linear,Clonal,Mono,1,Posidonia australis
59,,Observation,11,Physical,Explosion,Circle,-35.133,150.75,Australia,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,740,96,100,NA,No,Estimated,840,62,Linear,Clonal,Mono,1,Posidonia australis
60,,Observation,NA,Climate,Cyclone,NA,17.783,-64.75,USA,NA,NA,NA,-20,Deep,Subtidal,33.5,November,11,NA,NA,NA,NA,99,NA,Yes,Estimated,7,100,NA,Clonal,Mono,1,Halophila decipiens
61,"Coral reef lagoon, facilitation, rhizophytic algae, seagrass succession, sediment nitrogen, st. croix, syringodium, thalassia",Experiment,6,NA,NA,Square,17.756,-64.606,USA,NA,NA,NA,-3,Shallow,Subtidal,50.7,August,8,NA,NA,1,4,100,0,Yes,Exact,27,100,Linear,Clonal,Mixed,3,"Halodule wrightii, Syringodium filiforme, Thalassia testudinum"
62,"Rhizome meristem, seagrass sediment, extractable ammonium, blade productivity",Observation,10,Physical,Physical - Boat propeller scar,Irregular,27.683,-82.5,USA,15,33,24,-0.5,Shallow,Subtidal,42.6,NA,NA,1637000,1637000,0.25,3,99,NA,No,Estimated,52,NA,Linear,Clonal,Mono,1,Thalassia testudinum
62,,Experiment,7,Physical,Physical - Boat propeller scar,Rectangle,27.683,-82.5,USA,15,33,24,-0.5,Shallow,Subtidal,40.5,February,2,1637000,1637000,0.25,3,99,NA,No,Estimated,91,NA,Linear,Clonal,Mono,1,Thalassia testudinum
63,,Observation,5,Physical,Grazing - Dugong,Rectangle,-3.567,128.322,Indonesia,NA,NA,NA,NA,NA,Intertidal,24.4,December,12,60000,60000,0.6,6.4,100,1,Yes,Exact,5,100,Linear,Clonal,Mixed,5,"Cymodocea rotundata, Halodule uninervis, Enhalus acoroides, Thalassia hemprichii, Halophila ovalis"
66,"Indicators for ecosystem health, leaf area index, recovery, critical slowing down, zostera marina, nutrient enrichment",Experiment,5,NA,NA,Circle,37.35,122.58,China,NA,NA,NA,NA,NA,Intertidal,1.5,June,6,NA,NA,0.2,1.57,100,NA,Yes,Estimated,1.5,100,NA,NA,Mono,1,Zostera marina
66,,Experiment,5,NA,NA,Circle,37.041,122.57,China,NA,NA,NA,NA,NA,Intertidal,1.5,June,6,NA,NA,0.2,1.57,100,NA,No,NA,NA,50,NA,NA,Mono,1,Zostera marina
67,"Halophila ovalis, seagrass, within-patch variation, growth, production, dugong, herbivory, morphological plasticity, Thailand, small-scale heterogeneity",Observation,2,Physical,Grazing - Dugong,Rectangle,7.411,99.343,Thailand,NA,NA,NA,NA,NA,Intertidal,0.4,March,3,NA,NA,0.3,4.3,100,NA,No,Estimated,0.7,NA,Linear,Clonal,Mixed,1,Halophila ovalis
70,"Clam harvest, physical damage, Zostera noltii, Seagrass, Disturbance, Population recovery",Experiment,7,Physical,Shellfishing - Clams,Square,37.03,-7.819,Portugal,NA,NA,NA,NA,NA,Intertidal,5.1,June,6,NA,NA,0.01,0.4,43,0.5,Yes,Exact,1,100,Linear,Clonal,Mono,1,Zostera noltii
71,"Herbiovry, seagrass, lytechinus variegatus, sea urchin, thalassia testudinum",Experiment,4,Physical,Grazing - Sea Urchin,Square,29.797,-85.349,USA,30,36,33,-0.5 to 1.5,Shallow,Subtidal,4,December - January,12,25596390,25596390,5,9,100,NA,No,Estimated,NA,NA,NA,NA,Mixed,3,"Thalassia testudinum, Halodule wrightii, Syringodium filiforme"
72,,Experiment,3,Physical,Ice scour,Circle,55.269,-162.899,USA,NA,NA,NA,NA,NA,Intertidal,24.3,December - February,12,NA,NA,0.25,1.8,100,NA,Yes,Estimated,48,100,Nonlinear,Both,Mono,1,Zostera marina
73,"Zostera marina, eelgrass, disturbance, marine heat wave, blue carbon, restoration, resilience, climate change",Observation,2,Climate,Marine Heatwave,Irregular,37.266,-75.812,USA,NA,NA,NA,-0.8 to -1.6,Shallow,Subtidal,60,June,6,7000000,7000000,NA,NA,90,NA,Yes,Estimated,36,100,Linear,NA,Mono,1,Zostera marina
74,,Observation,0,Disease,"Wasting disease, Hurricane",Irregular,37.266,-75.812,USA,NA,NA,NA,NA,NA,NA,228,NA,NA,116000000,36120000,116000000,NA,100,876,No,NA,NA,69,Linear,Both,Mono,1,Zostera marina
75,"Tropical, seagrass, recovery, disturbance, propeller scars",Experiment,10,Physical,Propeller scars,Square,24.763,-81.115,USA,NA,NA,NA,-2.5,Shallow,Subtidal,36,NA,NA,NA,NA,2.25,6,100,NA,Yes,Estimated,18,100,Linear,NA,Mono,1,Syringodium filiforme
75,,Experiment,10,Physical,Propeller scars,Square,24.763,-81.115,USA,NA,NA,NA,-0.5 to -2.0,Shallow,Subtidal,36,NA,NA,NA,NA,2.25,6,100,NA,Yes,Estimated,23,100,Linear,NA,Mono,1,Halodule wrightii
75,,Experiment,10,Physical,Propeller scars,Square,24.763,-81.115,USA,NA,NA,NA,-0.5 to -2.0,Shallow,Subtidal,36,NA,NA,NA,NA,2.25,6,100,NA,No,Estimated,126,15,Linear,NA,Mono,1,Thalassia testudinum
76,"Growth, reclamation, seagrass, recovery, current status, Nakdong River Estuary",Observation,0,Physical,"Land Reclamation, Dam Construction",Irregular,35.074,128.849,South Korea,20,32,26,-1.5,Shallow,Subtidal,17.3,NA,NA,13600000,300000,13600000,NA,99,NA,No,NA,NA,2.2,NA,NA,Mono,1,Zostera marina
77,"Seagrass, Loss, Recovery, Climate, Seed, Reproduction",Experiment,3,Climate,"Tropical Cyclone, La Nina",Square,-19.926,148.142,Australia,NA,NA,NA,-2,Shallow,Subtidal,6.1,May,5,NA,NA,0.25,2,100,0,Yes,Exact,4,100,Linear,Clonal,Mono,1,Halodule uninervis
77,,Experiment,3,Climate,"Tropical Cyclone, La Nina",Square,-19.926,148.142,Australia,NA,NA,NA,-14,Deep,Subtidal,6.1,July,7,NA,NA,0.25,2,100,0,Yes,Exact,2,100,Linear,Seed,Mixed,2,"Halophila decipiens, Halophila spinulosa"
